parent_asin,user_id,timestamp,title
B07TVX3KBT,AHX4XWVVQUKT3FCNWCVASDF4Q56Q,1671386142695,Bloggerlove Women's Raincoats Windbreaker Rain Jacket Waterproof Lightweight Outdoor Hooded Trench Coats S-XXL
B0BBG6V6HW,AHX4XWVVQUKT3FCNWCVASDF4Q56Q,1670386153803,IZZY + TOBY Cotton Nightgowns for Women Long Sleeve Soft Long Warm Nightdress Kintted Night Gown Ladies Nightdress
B09S4LZFRW,AHX4XWVVQUKT3FCNWCVASDF4Q56Q,1667749006189,"The 1 for U Womens Nightgowns - Cotton Nightgowns for Women, Martha 100% Cotton Gown"
B01DAG6ADG,AHX4XWVVQUKT3FCNWCVASDF4Q56Q,1659894679592,Sakkas Presta Roman Sleeveless Lined Tank Top Dress with Emrboidery Lace Design
B07N8HG73Q,AHX4XWVVQUKT3FCNWCVASDF4Q56Q,1657220031673,"Panama Jack Safari Straw Hat - Lightweight, 3"" Big Brim, Inner Elastic Sweatband, 3-Pleat Ribbon Hat Band"
B0BG17KS8B,AHX4XWVVQUKT3FCNWCVASDF4Q56Q,1645732854902,"Avia Verge Womens Sneakers - Tennis, Court, Cross Training, or Pickleball Shoes for Women, Classic Black or Walking White Sneakers with Arch Support, Wide Width or Medium"
B0973DKWLF,AHX4XWVVQUKT3FCNWCVASDF4Q56Q,1643913609899,Realtree Mens ElimiShield Heavyweight Merino Wool Blend Mid Calf Boot Socks 3 Pair Pack
B07C2DKNNL,AHX4XWVVQUKT3FCNWCVASDF4Q56Q,1638653861974,Wrangler Men's Retro Skinny Jean
B087N7WQLC,AHX4XWVVQUKT3FCNWCVASDF4Q56Q,1637144663633,WEDDINGSTAR Personalized Large Rectangle Glass Jewelry Box Organizer Rose Gold Edges - Elegant Calligraphy Print
B0B2N6HP8H,AHX4XWVVQUKT3FCNWCVASDF4Q56Q,1636226656981,Callaway Men's Balboa TRX Golf Shoe
B06ZZD5G1R,AHX4XWVVQUKT3FCNWCVASDF4Q56Q,1630181098032,Pyramid Women's Rise Black/Hot Pink
B0BZCVF7Y4,AHX4XWVVQUKT3FCNWCVASDF4Q56Q,1621900638703,CLIFFS BY WHITE MOUNTAIN Women's Cynthia Wedge Sandal
B07RJ852PF,AHX4XWVVQUKT3FCNWCVASDF4Q56Q,1613587165539,Shapermint High Waisted Medium Compression Leggings - Shapewear for Women
B071HW9RZB,AHX4XWVVQUKT3FCNWCVASDF4Q56Q,1610952162638,Under Armour Men's Sportstyle Pique Pants
B086D9W8JW,AHX4XWVVQUKT3FCNWCVASDF4Q56Q,1610952099743,Under Armour Men's ColdGear Infrared Shield Jacket
B08P5HL2XQ,AHX4XWVVQUKT3FCNWCVASDF4Q56Q,1609604069826,2PCS Christmas Anniversary Valentine Gifts for Boyfriend Girlfriend I Love You I Know Couple Keychains Gifts for Him and Her Wedding Jewelry Women Men Husband Wife Birthday Fiance Engagement
B07CNC83PS,AHX4XWVVQUKT3FCNWCVASDF4Q56Q,1607017241981,Skechers Women's D'Lites Fresh Start Fashion Sneaker
B0B434H4KW,AHX4XWVVQUKT3FCNWCVASDF4Q56Q,1599466618600,Lee Women's Relaxed Fit All Day Straight Leg Pant
B0711VPWF2,AHX4XWVVQUKT3FCNWCVASDF4Q56Q,1591034446329,Sakkas Magdilena Stonewashed Corset Front Embroidered Dress
B084DW1JB7,AHX4XWVVQUKT3FCNWCVASDF4Q56Q,1574882171727,"Dansko Women's Honor Comfort Shoes - Sneakers, Arch Support, Walking"
B0865HNG2S,AHX4XWVVQUKT3FCNWCVASDF4Q56Q,1571848896931,Kyopp High Waist Yoga Pants Tummy Control Workout Running 4 Way Stretch Yoga Leggings Women Capris Pants
B08Z1P3RR3,AHX4XWVVQUKT3FCNWCVASDF4Q56Q,1571068355980,JUST MY SIZE Women's Plus Size Vneck Long Sleeve Tee
